,County_Code,academic_wght_avg_score_All,academic_wght_avg_score_Economic_disadv,academic_wght_avg_score_NOT_economic_disadv,fitness_pct_HFZ_All,fitness_pct_HFZ_Economic_disadv,fitness_pct_HFZ_NOT_economic_disadv,fitness_pct_NI_All,fitness_pct_NI_Economic_disadv,fitness_pct_NI_NOT_economic_disadv,fitness_pct_NI_HR_All,fitness_pct_NI_HR_Economic_disadv,fitness_pct_NI_HR_NOT_economic_disadv,County
0,1.0,353.261753741,326.202292208,381.387078666,0.636122748126,0.523148324011,0.728351973635,0.233018048562,0.270353709509,0.150460275384,0.128140170079,0.175201226258,0.0854750767044,Alameda
1,2.0,,,,,,,,,,,,,Alpine
2,3.0,279.356928105,202.842149454,335.766349028,0.668490217391,0.587222038567,0.702263565891,0.169751992754,0.17970137741,0.150848992248,0.129149094203,0.152084848485,0.114329302326,Amador
3,4.0,343.621098179,329.966129387,355.70425232,0.647057716957,0.584524262825,0.716731242419,0.17542682651,0.194870638483,0.149895569803,0.158062844002,0.195895866512,0.105475076532,Butte
4,5.0,353.115934844,335.22460717,362.544265426,0.635101320014,0.585512032086,0.691720263084,0.202937329052,0.216253787879,0.173126504338,0.141625995957,0.146095142602,0.122558774139,Calaveras
5,6.0,337.704283954,329.654778465,358.167616241,0.630494182067,0.599747990544,0.698333981842,0.189711327858,0.19505106383,0.16673540856,0.179794490075,0.205200945627,0.111584306096,Colusa
6,7.0,356.399298764,323.704043796,381.189608031,0.677106196843,0.540862875004,0.766083564903,0.193512818508,0.259054502316,0.148307632835,0.126878964789,0.190841294918,0.0814853681584,Contra Costa
7,8.0,323.899986586,325.515689559,318.495160089,0.644172131148,0.601652868555,0.687844660194,0.177264186633,0.165287581699,0.170181229774,0.140732660782,0.143734931009,0.125792880259,Del Norte
8,9.0,370.286501885,309.042578793,382.250230614,0.760957410972,0.508426193119,0.581905388069,0.144403539728,0.177897397953,0.0895731237973,0.0869393380387,0.112788506598,0.0430821039128,El Dorado
9,10.0,331.082192775,317.603767818,357.895339108,0.580822070999,0.543430525638,0.673580366612,0.238643740599,0.251870893065,0.188477244469,0.176476086976,0.194312089925,0.121796841287,Fresno
10,11.0,319.356055541,309.448069143,293.749487179,0.606384228188,0.566358299595,0.673220833333,0.179355844519,0.182269230769,0.1670125,0.162246504474,0.185245614035,0.129211111111,Glenn
11,12.0,328.944649313,324.002047066,340.002194656,0.555489458405,0.491523298692,0.588524146544,0.245726561013,0.253678176333,0.201900638357,0.176939320388,0.185740529668,0.130474465723,Humboldt
12,13.0,329.847917971,323.67714223,339.411731238,0.566148841032,0.545441115178,0.60839821809,0.218637841051,0.226541323574,0.179781425528,0.21064430917,0.22374796686,0.157200949061,Imperial
13,14.0,326.094526428,302.112010444,351.060680751,0.53433320802,0.460276048714,0.667957532051,0.279652130326,0.321589986468,0.221004807692,0.154435714286,0.17347902571,0.0677684294872,Inyo
14,15.0,338.228980385,324.015926868,360.633924051,0.606689216363,0.577562510786,0.680781698351,0.22425664178,0.236797413899,0.192771563152,0.165288620481,0.180592371743,0.118605592223,Kern
15,16.0,323.239231575,314.764145994,348.942449211,0.587859253715,0.55031741127,0.660583959251,0.230141522511,0.252210699112,0.182083657084,0.176177533821,0.19309439509,0.148785375119,Kings
16,17.0,329.498766777,303.698391813,311.120211161,0.569519458333,0.518367910983,0.574513781698,0.226208916667,0.223263819096,0.175505696435,0.170021625,0.192563053362,0.0901128261669,Lake
17,18.0,347.675885226,322.999620382,306.943686007,0.650113832325,0.567320864505,0.648777251185,0.242977710512,0.249674563591,0.198537914692,0.103606310769,0.0957227763923,0.0981824644551,Lassen
18,19.0,339.233316987,328.051758475,360.985405444,0.596714520761,0.548448612779,0.705151018342,0.234202258598,0.256172368735,0.166583019123,0.165776467243,0.186422897708,0.101623489002,Los Angeles
19,20.0,329.063288198,314.27801965,312.428296439,0.574704869235,0.547227338811,0.500779959993,0.218649989601,0.222792981032,0.174425895617,0.188707221962,0.206684552186,0.0934793598837,Madera
20,21.0,372.088884449,314.355831951,389.409733911,0.755887135979,0.596258935084,0.809177895379,0.157915720095,0.217621444201,0.13617412986,0.0755394521573,0.160408460977,0.044674435172,Marin
21,22.0,294.658515284,271.836,327.198879552,0.649848258707,0.548283828383,0.754379679144,0.140327529022,0.171872937294,0.105537433155,0.140172470978,0.195684818482,0.0866069518715,Mariposa
22,23.0,322.246228453,314.343337618,293.806498195,0.56314830836,0.520042513369,0.614162783375,0.221398962421,0.222313903743,0.151818639799,0.195652515162,0.220388680927,0.118779282116,Mendocino
23,24.0,321.259801324,319.691055199,343.250477066,0.556934794608,0.540382225665,0.554263670412,0.240879172359,0.247237828116,0.20225917603,0.198957155276,0.207892287281,0.194188764045,Merced
24,25.0,343.646039845,305.76001454,194.635460993,0.564287570622,0.515920634921,0.58720754717,0.179976271186,0.233553571429,0.106188679245,0.133702259887,0.167192460317,0.0990566037736,Modoc
25,26.0,349.24522293,246.294610778,282.646846847,0.587414529915,0.522534161491,0.62442962963,0.202459935897,0.194173913044,0.139366666667,0.123587072649,0.103167701863,0.0732407407407,Mono
26,27.0,326.816127275,313.469404264,349.339401721,0.636756251457,0.606601209796,0.67531600197,0.191352026659,0.201574718862,0.171304677499,0.168029303877,0.18838156126,0.131715115707,Monterey
27,28.0,343.823873096,327.303699754,368.319402921,0.663152279678,0.587290978859,0.728060294328,0.197278044203,0.22231342311,0.172384412059,0.139569676119,0.173888213148,0.0978407629662,Napa
