,County_Code,District_Code,School_Code,Subgroup,NoHFZ9_aerobic,NoStud9_aerobic,Perc9HFZ_aerobic,Perc9NI_aerobic,Perc9NI_HR_aerobic,NoHFZ9_bodycomp,NoStud9_bodycomp,Perc9HFZ_bodycomp,Perc9NI_bodycomp,Perc9NI_HR_bodycomp,Mean_Academic_Test_Score,Students_Tested_Academic,Total_Tested_At_Subgroup_Level_Academic
32,1.0,61119.0,130609.0,NOT_economic_disadv,21.3333333333,37.0,57.1666666667,29.4,13.4333333333,27.3333333333,37.0,73.8333333333,13.4,12.7666666667,360.066666667,39.3333333333,167.0
33,1.0,61119.0,130625.0,All,8.33333333333,27.3333333333,27.1,63.1666666667,9.73333333333,13.3333333333,27.3333333333,52.1666666667,18.4,29.4333333333,285.433333333,29.6666666667,47.0
34,1.0,61119.0,130625.0,Economic_disadv,8.33333333333,27.0,27.3333333333,63.5666666667,9.1,13.3333333333,27.0,52.4,18.6,29.0,286.0,27.0,42.0
35,1.0,61119.0,130625.0,NOT_economic_disadv,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,,3.0,5.0
36,1.0,61119.0,132142.0,All,165.0,254.0,65.0,28.0,7.0,186.0,254.0,73.2,15.4,11.4,322.5,139.0,
37,1.0,61119.0,132142.0,Economic_disadv,65.0,111.0,58.6,31.5,9.9,75.0,111.0,67.6,15.3,17.1,307.8,61.5,
38,1.0,61119.0,132142.0,NOT_economic_disadv,98.0,140.0,70.0,25.0,5.0,108.0,140.0,77.1,15.7,7.2,392.9,150.0,
39,1.0,61119.0,132878.0,All,164.5,265.0,61.75,27.25,11.0,183.5,265.0,69.1,17.1,13.8,366.5,117.5,353.0
40,1.0,61119.0,132878.0,Economic_disadv,65.5,120.0,54.6,32.5,12.9,82.5,120.0,68.75,17.55,13.7,351.95,57.25,164.0
41,1.0,61119.0,132878.0,NOT_economic_disadv,96.5,141.0,67.75,22.95,9.3,99.0,141.0,69.75,16.45,13.8,380.3,60.25,189.0
42,1.0,61127.0,130450.0,All,238.333333333,295.333333333,80.7666666667,13.9333333333,5.3,226.0,295.333333333,76.6,15.5,7.9,409.7,141.833333333,407.5
43,1.0,61127.0,130450.0,Economic_disadv,33.6666666667,49.6666666667,66.4,23.3,10.3,33.3333333333,49.6666666667,66.6333333333,19.6333333333,13.7333333333,374.966666667,39.5,65.0
44,1.0,61127.0,130450.0,NOT_economic_disadv,124.0,150.0,82.6,12.9333333333,4.46666666667,116.333333333,150.0,77.3,15.5333333333,7.16666666667,417.4,137.6,342.5
