,County_Name,School_Name,Subgroup,Number_Students_Total,Number_Students_Healthy,Number_Students_Unhealthy,Mean_Academic_Test_Score,Students_Tested_Academic,Total_Tested_At_Subgroup_Level_Academic
57,Alameda,Crossroads High (Alternative),NOT_economic_disadv,0.0,0.0,0.0,,3.0,6.0
58,Alameda,Dublin High,All,3420.0,2608.0,812.0,400.166666667,302.6,657.666666667
59,Alameda,Dublin High,Economic_disadv,426.0,288.0,138.0,361.133333333,37.5,67.3333333333
60,Alameda,Dublin High,NOT_economic_disadv,1794.0,1276.0,518.0,404.366666667,340.0,590.333333333
61,Alameda,East Bay Arts High,All,244.0,139.0,105.0,337.666666667,37.25,56.6666666667
62,Alameda,East Bay Arts High,Economic_disadv,176.0,98.0,78.0,319.666666667,25.5,37.6666666667
63,Alameda,East Bay Arts High,NOT_economic_disadv,58.0,34.0,24.0,377.066666667,15.6666666667,22.0
64,Alameda,Emery Secondary,All,158.0,68.0,90.0,315.5,31.5,103.666666667
65,Alameda,Emery Secondary,Economic_disadv,2.0,0.0,0.0,309.9,21.25,46.6666666667
66,Alameda,Emery Secondary,NOT_economic_disadv,0.0,0.0,0.0,313.3,16.0,71.0
67,Alameda,Encinal High,All,1060.0,696.0,364.0,366.5,117.5,353.0
68,Alameda,Encinal High,Economic_disadv,242.0,151.0,91.0,351.95,57.25,164.0
69,Alameda,Encinal High,NOT_economic_disadv,316.0,232.0,84.0,380.3,60.25,189.0
70,Alameda,Encinal Junior/Senior High,All,508.0,351.0,157.0,322.5,139.0,
71,Alameda,Encinal Junior/Senior High,Economic_disadv,222.0,140.0,82.0,307.8,61.5,
72,Alameda,FAME Public Charter,All,136.0,78.0,58.0,333.3,51.0,167.0
73,Alameda,FAME Public Charter,Economic_disadv,76.0,46.0,30.0,330.0,32.0,110.0
74,Alameda,FAME Public Charter,NOT_economic_disadv,56.0,16.0,20.0,338.9,19.0,57.0
75,Alameda,Foothill High,All,3148.0,2654.0,494.0,395.525,260.333333333,746.5
76,Alameda,Foothill High,Economic_disadv,182.0,134.0,48.0,351.033333333,30.3333333333,38.5
77,Alameda,Foothill High,NOT_economic_disadv,2866.0,2437.0,429.0,398.2,293.8,708.0
78,Alameda,Fremont High,All,1080.0,442.0,638.0,285.366666667,108.8,276.0
79,Alameda,Fremont High,Economic_disadv,554.0,222.0,332.0,287.566666667,115.0,234.666666667
80,Alameda,Fremont High,NOT_economic_disadv,22.0,13.0,9.0,272.466666667,19.75,41.3333333333
81,Alameda,Granada High,All,3074.0,2314.0,760.0,375.325,218.833333333,723.5
82,Alameda,Granada High,Economic_disadv,392.0,211.0,181.0,358.666666667,57.75,111.0
83,Alameda,Granada High,NOT_economic_disadv,1690.0,1375.0,315.0,411.466666667,213.8,599.0
84,Alameda,Hayward High,All,2398.0,894.0,1504.0,321.85,188.333333333,545.5
85,Alameda,Hayward High,Economic_disadv,1798.0,646.0,1152.0,316.85,165.6,384.5
86,Alameda,Hayward High,NOT_economic_disadv,516.0,224.0,292.0,350.533333333,98.0,161.0
87,Alameda,Independent Study,All,30.0,8.0,22.0,298.0,16.0,23.0
88,Alameda,Independent Study,Economic_disadv,0.0,0.0,0.0,299.9,11.0,12.0
89,Alameda,Independent Study,NOT_economic_disadv,0.0,0.0,0.0,,5.0,11.0
90,Alameda,"Independent Study, Sojourner Truth",All,28.0,7.0,21.0,312.4,14.0,62.0
91,Alameda,"Independent Study, Sojourner Truth",Economic_disadv,2.0,,,299.8,13.5,42.0
92,Alameda,"Independent Study, Sojourner Truth",NOT_economic_disadv,4.0,,,,8.0,20.0
93,Alameda,Irvington High,All,2706.0,2088.0,618.0,391.3,286.166666667,789.0
94,Alameda,Irvington High,Economic_disadv,220.0,130.0,90.0,370.0,57.8,139.5
95,Alameda,Irvington High,NOT_economic_disadv,1432.0,1119.0,313.0,413.48,282.8,649.5
96,Alameda,James Logan High,All,3606.0,2266.0,1340.0,340.84,475.333333333,1377.5
97,Alameda,James Logan High,Economic_disadv,238.0,115.0,121.0,329.74,278.6,643.5
98,Alameda,James Logan High,NOT_economic_disadv,1732.0,1197.0,535.0,351.54,290.4,734.0
99,Alameda,John F. Kennedy High,All,1648.0,999.0,649.0,354.5,173.75,660.0
100,Alameda,John F. Kennedy High,Economic_disadv,444.0,269.0,175.0,334.1,104.333333333,276.0
101,Alameda,John F. Kennedy High,NOT_economic_disadv,606.0,407.0,199.0,371.35,126.666666667,384.0
102,Alameda,KIPP King Collegiate High,All,784.0,433.0,351.0,392.6,63.0,127.0
103,Alameda,KIPP King Collegiate High,Economic_disadv,76.0,38.0,38.0,392.1,50.0,101.0
104,Alameda,KIPP King Collegiate High,NOT_economic_disadv,0.0,0.0,0.0,394.6,26.0,26.0
105,Alameda,LIFE Academy,All,432.0,185.0,247.0,338.2,68.0,68.0
106,Alameda,LIFE Academy,Economic_disadv,274.0,127.0,147.0,338.6,65.0,65.0
107,Alameda,LIFE Academy,NOT_economic_disadv,8.0,0.0,0.0,,3.0,3.0
108,Alameda,LPS Oakland R & D Campus,All,452.0,206.0,246.0,365.3,43.5,87.0
109,Alameda,LPS Oakland R & D Campus,Economic_disadv,432.0,196.0,236.0,366.1,41.5,83.0
110,Alameda,LPS Oakland R & D Campus,NOT_economic_disadv,12.0,,,,2.0,4.0
111,Alameda,Leadership Public Schools - Hayward,All,796.0,408.0,388.0,363.5,131.5,236.0
112,Alameda,Leadership Public Schools - Hayward,Economic_disadv,560.0,270.0,290.0,350.4,90.5,153.0
113,Alameda,Leadership Public Schools - Hayward,NOT_economic_disadv,234.0,138.0,96.0,389.4,41.0,83.0
114,Alameda,Lighthouse Community Charter High,All,442.0,259.0,183.0,359.4,61.5,124.0
115,Alameda,Lighthouse Community Charter High,Economic_disadv,386.0,225.0,161.0,355.3,51.0,108.0
116,Alameda,Lighthouse Community Charter High,NOT_economic_disadv,32.0,0.0,0.0,376.9,10.5,16.0
117,Alameda,Livermore High,All,2770.0,1941.0,829.0,376.866666667,326.25,678.666666667
118,Alameda,Livermore High,Economic_disadv,498.0,270.0,228.0,334.733333333,105.666666667,148.5
119,Alameda,Livermore High,NOT_economic_disadv,1356.0,1010.0,346.0,390.433333333,247.0,515.0
120,Alameda,Livermore Valley Charter,All,0.0,0.0,0.0,364.4,90.0,
121,Alameda,Livermore Valley Charter,Economic_disadv,0.0,0.0,0.0,356.4,11.0,
122,Alameda,Livermore Valley Charter,NOT_economic_disadv,0.0,0.0,0.0,365.5,79.0,
123,Alameda,Livermore Valley Charter Preparatory High,All,604.0,372.0,232.0,,0.0,
124,Alameda,Madison Park Academy 6-12,All,630.0,283.0,347.0,314.65,61.0,466.0
125,Alameda,Madison Park Academy 6-12,Economic_disadv,226.0,98.0,128.0,313.35,58.0,443.0
126,Alameda,Madison Park Academy 6-12,NOT_economic_disadv,28.0,0.0,0.0,,6.0,23.0
127,Alameda,McClymonds High,All,280.0,126.0,154.0,300.8,52.0,52.0
128,Alameda,McClymonds High,Economic_disadv,90.0,43.0,39.0,299.4,47.0,47.0
129,Alameda,McClymonds High,NOT_economic_disadv,38.0,7.0,19.0,,5.0,5.0
130,Alameda,Millennium High Alternative,All,24.0,,,343.35,16.0,34.0
131,Alameda,Millennium High Alternative,Economic_disadv,0.0,0.0,0.0,,1.0,5.0
132,Alameda,Millennium High Alternative,NOT_economic_disadv,22.0,,,348.6,15.0,29.0
133,Alameda,Mission San Jose High,All,3024.0,2600.0,424.0,453.166666667,265.666666667,809.5
134,Alameda,Mission San Jose High,Economic_disadv,66.0,42.0,24.0,386.133333333,17.0,42.3333333333
135,Alameda,Mission San Jose High,NOT_economic_disadv,1018.0,899.0,119.0,455.866666667,304.8,768.0
136,Alameda,Mt. Eden High,All,3014.0,1483.0,1531.0,335.033333333,286.6,588.0
137,Alameda,Mt. Eden High,Economic_disadv,2132.0,1007.0,1125.0,329.433333333,243.75,389.0
138,Alameda,Mt. Eden High,NOT_economic_disadv,780.0,424.0,356.0,347.533333333,114.0,199.0
139,Alameda,Nea Community Learning Center,All,132.0,67.0,65.0,337.8,18.6,219.5
140,Alameda,Nea Community Learning Center,Economic_disadv,36.0,13.0,23.0,327.266666667,8.6,72.0
141,Alameda,Newark Memorial High,All,2632.0,1719.0,913.0,319.833333333,224.166666667,681.5
142,Alameda,Newark Memorial High,Economic_disadv,1310.0,779.0,531.0,324.675,107.5,336.0
143,Alameda,Newark Memorial High,NOT_economic_disadv,830.0,603.0,227.0,366.333333333,139.4,345.5
144,Alameda,Oakland Charter High,All,704.0,528.0,176.0,420.5,92.3333333333,109.0
145,Alameda,Oakland Charter High,Economic_disadv,484.0,372.0,112.0,414.933333333,78.6666666667,91.5
146,Alameda,Oakland Charter High,NOT_economic_disadv,42.0,29.0,5.0,453.85,13.6666666667,17.5
147,Alameda,Oakland High,All,1982.0,1048.0,934.0,289.78,148.166666667,494.0
148,Alameda,Oakland High,Economic_disadv,536.0,250.0,286.0,291.54,160.4,436.0
149,Alameda,Oakland High,NOT_economic_disadv,60.0,25.0,35.0,304.1,17.4,58.0
150,Alameda,Oakland International High,All,424.0,259.0,165.0,265.133333333,74.5,122.333333333
151,Alameda,Oakland International High,Economic_disadv,350.0,217.0,133.0,264.633333333,67.75,111.666666667
152,Alameda,Oakland International High,NOT_economic_disadv,14.0,0.0,0.0,263.6,9.0,11.5
153,Alameda,Oakland School for the Arts,All,0.0,0.0,0.0,401.1,76.0,175.0
154,Alameda,Oakland School for the Arts,Economic_disadv,0.0,0.0,0.0,371.1,16.0,30.0
155,Alameda,Oakland School for the Arts,NOT_economic_disadv,0.0,0.0,0.0,409.1,60.0,145.0
156,Alameda,Oakland Technical High,All,2886.0,1795.0,1091.0,338.016666667,250.333333333,757.5
157,Alameda,Oakland Technical High,Economic_disadv,456.0,228.0,224.0,332.18,161.4,417.5
158,Alameda,Oakland Technical High,NOT_economic_disadv,254.0,178.0,76.0,398.566666667,135.4,340.0
159,Alameda,Oakland Unity High,All,552.0,259.0,293.0,324.7,60.0,124.666666667
160,Alameda,Oakland Unity High,Economic_disadv,320.0,163.0,157.0,325.933333333,51.5,106.333333333
161,Alameda,Oakland Unity High,NOT_economic_disadv,44.0,15.0,15.0,322.7,8.0,18.3333333333
162,Alameda,Piedmont High,All,1242.0,1079.0,163.0,429.0,114.2,242.666666667
163,Alameda,Piedmont High,Economic_disadv,0.0,0.0,0.0,,1.0,5.0
164,Alameda,Piedmont High,NOT_economic_disadv,1214.0,1061.0,153.0,429.2,141.75,241.0
165,Alameda,REALM Charter High,All,572.0,364.0,208.0,332.1,45.0,90.0
166,Alameda,REALM Charter High,Economic_disadv,458.0,292.0,166.0,330.9,33.5,67.0
167,Alameda,REALM Charter High,NOT_economic_disadv,106.0,64.0,42.0,335.9,11.5,23.0
168,Alameda,Redwood Continuation High,All,22.0,,,307.033333333,9.5,51.0
169,Alameda,Redwood Continuation High,Economic_disadv,2.0,0.0,0.0,,3.66666666667,12.0
170,Alameda,Redwood Continuation High,NOT_economic_disadv,20.0,,,327.9,6.75,37.0
171,Alameda,San Leandro High,All,3626.0,2361.0,1265.0,316.866666667,309.5,910.5
172,Alameda,San Leandro High,Economic_disadv,1582.0,955.0,627.0,311.616666667,203.333333333,634.5
173,Alameda,San Leandro High,NOT_economic_disadv,898.0,619.0,279.0,359.633333333,126.2,276.0
174,Alameda,San Lorenzo High,All,2002.0,1126.0,876.0,321.575,192.4,511.0
