,County_Code,School_Code,Mean_Academic_Test_Score_All,Mean_Academic_Test_Score_Economic_disadv,Mean_Academic_Test_Score_NOT_economic_disadv,Combined_Fitness_Unhealthy_Pct_All,Combined_Fitness_Unhealthy_Pct_Economic_disadv,Combined_Fitness_Unhealthy_Pct_NOT_economic_disadv,County,School
49,1.0,130583.0,424.8,366.233333333,428.166666667,0.180331991952,0.390070921986,0.163716814159,Alameda,Amador Valley High
50,1.0,130609.0,355.133333333,334.4,360.066666667,0.343537414966,0.25,0.342342342342,Alameda,Alameda Community Learning Center
51,1.0,130617.0,358.233333333,355.766666667,369.966666667,0.567944250871,0.572368421053,0.555555555556,Alameda,"Oakland Military Institute, College Preparatory Academy"
52,1.0,130625.0,285.433333333,286.0,,0.603658536585,0.598765432099,1.0,Alameda,Bay Area School of Enterprise
53,1.0,130625.0,285.433333333,286.0,,0.603658536585,0.598765432099,1.0,Alameda,Alternatives in Action
54,1.0,130666.0,360.633333333,360.833333333,,0.600961538462,0.597014925373,1.0,Alameda,Aspire Lionel Wilson College Preparatory Academy
55,1.0,130849.0,348.233333333,346.54,383.933333333,0.401915708812,0.41980474198,0.375,Alameda,Arroyo High
56,1.0,131177.0,373.933333333,325.066666667,394.066666667,0.448653198653,0.506472491909,0.385767790262,Alameda,Berkeley High
57,1.0,131755.0,,,,,,1.0,Alameda,California School for the Blind
58,1.0,131763.0,300.1,316.5,287.85,0.346153846154,0.127049180328,,Alameda,California School for the Deaf-Fremont
59,1.0,132142.0,322.5,307.8,392.9,0.30905511811,0.369369369369,0.264285714286,Alameda,Encinal Junior/Senior High
60,1.0,132225.0,346.24,360.366666667,349.725,0.222972972973,0.266940451745,0.208039906103,Alameda,Castro Valley High
61,1.0,132555.0,371.0,375.0,,0.55,0.636363636364,,Alameda,Conservatory of Vocal/Instrumental Arts High
62,1.0,132704.0,400.166666667,361.133333333,404.366666667,0.237426900585,0.323943661972,0.225736879942,Alameda,Dublin High
63,1.0,132746.0,315.5,309.9,313.3,0.569620253165,1.0,,Alameda,Emery Secondary
64,1.0,132878.0,366.5,351.95,380.3,0.343396226415,0.383333333333,0.306737588652,Alameda,Encinal High
65,1.0,133397.0,375.325,358.666666667,411.466666667,0.247234873129,0.436426116838,0.202361563518,Alameda,Granada High
66,1.0,133629.0,321.85,316.85,350.533333333,0.627189324437,0.640711902113,0.565891472868,Alameda,Hayward High
67,1.0,134270.0,391.3,370.0,413.48,0.228381374723,0.358536585366,0.206063268893,Alameda,Irvington High
68,1.0,134452.0,355.666666667,335.8,371.0,0.393810679612,0.454929577465,0.350549450549,Alameda,John F. Kennedy High
69,1.0,134536.0,376.866666667,334.733333333,390.433333333,0.299277978339,0.435792349727,0.248505976096,Alameda,Livermore High
70,1.0,134668.0,340.84,329.74,351.54,0.371602884082,0.275210084034,0.308891454965,Alameda,James Logan High
71,1.0,135244.0,453.166666667,386.133333333,455.866666667,0.140211640212,0.34375,0.132322536182,Alameda,Mission San Jose High
72,1.0,135319.0,335.033333333,329.433333333,347.533333333,0.50796284008,0.527673545966,0.45641025641,Alameda,Mt. Eden High
73,1.0,135533.0,307.033333333,,327.9,,1.0,,Alameda,Redwood Continuation High
74,1.0,135905.0,289.78,291.54,304.1,0.471241170535,0.513513513514,0.49,Alameda,Oakland High
75,1.0,136051.0,338.016666667,332.18,398.566666667,0.378031878032,0.237903225806,-0.00159744408946,Alameda,Oakland Technical High
76,1.0,136515.0,429.0,,429.2,0.131239935588,,0.126029654036,Alameda,Piedmont High
77,1.0,137588.0,316.866666667,311.616666667,359.633333333,0.348869277441,0.376495726496,0.298061389338,Alameda,San Leandro High
78,1.0,137810.0,321.575,320.675,325.533333333,0.437562437562,0.438639125152,0.428571428571,Alameda,San Lorenzo High
79,1.0,137943.0,316.383333333,311.583333333,346.633333333,0.584841628959,0.629533678756,0.515873015873,Alameda,Skyline High
80,1.0,138339.0,303.68,306.375,325.866666667,0.573369565217,0.591954022989,0.46568627451,Alameda,Tennyson High
81,1.0,138693.0,349.22,343.766666667,387.8,0.320531757755,0.401136363636,0.276227678571,Alameda,Washington High
82,1.0,3030772.0,400.166666667,366.866666667,406.466666667,,,,Alameda,Oakland School for the Arts
83,1.0,6001341.0,412.4,374.9,419.4,,,,Alameda,William Mendenhall Middle
84,1.0,6066450.0,314.65,313.35,,0.550793650794,0.566371681416,1.0,Alameda,Madison Park Academy 6-12
85,1.0,6114011.0,309.033333333,297.3,,0.695945945946,1.0,1.0,Alameda,"Independent Study, Sojourner Truth"
86,1.0,6114011.0,309.033333333,297.3,,0.695945945946,1.0,1.0,Alameda,Independent Study
87,2.0,230011.0,,,,,,,Alpine,Alpine County Opportunity
88,3.0,330035.0,,,,,,,Amador,County Community
89,3.0,330050.0,317.0,,,,,,Amador,North Star Independent Study
